Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
buremba_netty-rest,org.rakam.server.http,SwaggerReader,getActualReturnType,Long Statement,The length of the statement "type=(ParameterizedType)method.getDeclaringClass().getSuperclass().getMethod(method.getName()`method.getParameterTypes()).getGenericReturnType();" is 145.,391
buremba_netty-rest,org.rakam.server.http,SwaggerReader,getPath,Complex Conditional,The conditional expression parentPath != null && !"".equals(parentPath) && !"/".equals(parentPath) is complex.,453
buremba_netty-rest,org.rakam.server.http,SwaggerReader,getPath,Complex Method,Cyclomatic complexity of the method is 11,453
buremba_netty-rest,org.rakam.server.http,SwaggerReader,parseResponseHeaders,Complex Method,Cyclomatic complexity of the method is 9,494
buremba_netty-rest,org.rakam.server.http,SwaggerReader,parseMethod,Complex Method,Cyclomatic complexity of the method is 41,531
buremba_netty-rest,org.rakam.server.http,SwaggerReader,parseMethod,Long Method,The method has 211 lines of code.,531
buremba_netty-rest,org.rakam.server.http,SwaggerReader,parseMethod,Long Statement,The length of the statement "operation.response(200`new Response().description("Successful request").schema(responseProperty).headers(defaultResponseHeaders));" is 130.,531
buremba_netty-rest,org.rakam.server.http,SwaggerReader,parseMethod,Long Statement,The length of the statement "operation.response(200`new Response().description("Successful operation").schema(responseProperty).headers(defaultResponseHeaders));" is 132.,531
buremba_netty-rest,org.rakam.server.http,SwaggerReader,parseMethod,Long Statement,The length of the statement "Class type=Arrays.stream(method.getParameters()).filter(p -> p.isAnnotationPresent(BodyParam.class)).findAny().get().getType();" is 127.,531
buremba_netty-rest,org.rakam.server.http,SwaggerReader,parseMethod,Long Statement,The length of the statement "List<Property> properties=Arrays.stream(parameters).map(parameter -> parameter.isAnnotationPresent(ApiParam.class) || parameter.isAnnotationPresent(HeaderParam.class) ? modelConverters.readAsProperty(getActualType(readClass`parameter.getParameterizedType())) : null).collect(Collectors.toList());" is 296.,531
buremba_netty-rest,org.rakam.server.http,SwaggerReader,parseMethod,Long Statement,The length of the statement "boolean isSchema=properties.stream().anyMatch(property -> property == null || (params.indexOf(property.getType()) == -1 && !((property instanceof ArrayProperty) && params.indexOf(((ArrayProperty)property).getItems().getType()) > -1)));" is 235.,531
buremba_netty-rest,org.rakam.server.http,SwaggerReader,parseMethod,Magic Number,The method contains a magic number: 200,531
buremba_netty-rest,org.rakam.server.http,SwaggerReader,parseMethod,Magic Number,The method contains a magic number: 200,531
buremba_netty-rest,org.rakam.server.http,SwaggerReader,parseMethod,Magic Number,The method contains a magic number: 200,531
buremba_netty-rest,org.rakam.server.http,SwaggerReader,readApiBody,Long Statement,The length of the statement "List<Constructor<?>> constructors=Arrays.stream(type.getConstructors()).filter(c -> c.isAnnotationPresent(JsonCreator.class)).collect(Collectors.toList());" is 155.,818
buremba_netty-rest,org.rakam.server.http,SwaggerReader,readApiBody,Long Statement,The length of the statement "throw new IllegalArgumentException(format("%s has more then one constructor annotation with @ParamBody. There must be only one."`type.getSimpleName()));" is 152.,818
buremba_netty-rest,org.rakam.server.http,SwaggerReader,readApiBody,Long Statement,The length of the statement "throw new IllegalArgumentException(format("%s doesn't have any constructor annotation with @JsonCreator."`type.getSimpleName()));" is 129.,818
buremba_netty-rest,org.rakam.server.http,SwaggerReader,readApiBody,Long Statement,The length of the statement "throw new IllegalArgumentException(format("%s constructor parameters don't have @ApiParam annotation."`type.getSimpleName()));" is 126.,818
buremba_netty-rest,org.rakam.server.http,SwaggerReader,readMethodParameters,Complex Method,Cyclomatic complexity of the method is 14,849
buremba_netty-rest,org.rakam.server.http,SwaggerReader,readMethodParameters,Long Statement,The length of the statement "headerParameter.setEnum(Arrays.stream(((Class)parameter.getParameterizedType()).getEnumConstants()).map(e -> e.toString()).collect(Collectors.toList()));" is 153.,849
buremba_netty-rest,org.rakam.server.http,SwaggerReader,readFormParameters,Long Statement,The length of the statement "headerParameter.setEnum(Arrays.stream(((Class)parameter.getParameterizedType()).getEnumConstants()).map(e -> e.toString()).collect(Collectors.toList()));" is 153.,929
buremba_netty-rest,org.rakam.server.http,SwaggerReader,getParameters,Complex Method,Cyclomatic complexity of the method is 8,974
buremba_netty-rest,org.rakam.server.http,SwaggerReader,extractOperationMethod,Complex Method,Cyclomatic complexity of the method is 9,1042
buremba_netty-rest,org.rakam.server.http,SwaggerReader,isPrimitive,Complex Method,Cyclomatic complexity of the method is 8,1072
buremba_netty-rest,org.rakam.server.http,SwaggerReader,applyAnnotations,Complex Method,Cyclomatic complexity of the method is 30,1101
buremba_netty-rest,org.rakam.server.http,SwaggerReader,applyAnnotations,Long Method,The method has 121 lines of code.,1101
buremba_netty-rest,org.rakam.server.http,SwaggerReader,applyAnnotations,Long Parameter List,The method has 5 parameters. ,1101
buremba_netty-rest,org.rakam.server.http,WebSocketService,handle,Long Statement,The length of the statement "WebSocketServerHandshakerFactory wsFactory=new WebSocketServerHandshakerFactory(getWebSocketLocation(request)`null`true);" is 121.,51
buremba_netty-rest,org.rakam.server.http,WebSocketService,handle,Long Statement,The length of the statement "DefaultFullHttpRequest defaultFullHttpRequest=new DefaultFullHttpRequest(request1.getProtocolVersion()`request1.getMethod()`request1.getUri());" is 143.,51
buremba_netty-rest,org.rakam.server.http.util,Lambda,produceLambda,Long Statement,The length of the statement "lambdaFactory=LambdaMetafactory.metafactory(lookup`targetMethod.getName()`factoryMethodType`functionMethodType`implementationMethod`implementationMethod.type());" is 161.,52
buremba_netty-rest,org.rakam.server.http.util,Lambda,produceLambda,Long Statement,The length of the statement "throw new InternalError(String.format("Unable to generate lambda for method %s. %s"`sourceMethod.getDeclaringClass().getName() + "." + sourceMethod.getName()`e.getMessage()));" is 175.,52
buremba_netty-rest,(default package),HttpServerTest,testName,Long Statement,The length of the statement "HttpServer build=new HttpServerBuilder().setHttpServices(new HashSet<>(Arrays.asList(new SimpleHttpService()))).setUseEpollIfPossible(false).setCustomRequestParameters(ImmutableMap.of("test"`method -> (node`request) -> request.getUri())).build();" is 246.,19
buremba_netty-rest,(default package),HttpServerTest,testName,Magic Number,The method contains a magic number: 7847,19
buremba_netty-rest,(default package),HttpServerTest,testWebhook,Long Statement,The length of the statement "HttpServer build=new HttpServerBuilder().setWebsocketServices(new HashSet<>(Arrays.asList(new SimpleWebhookService()))).setCustomRequestParameters(ImmutableMap.of("test"`method -> (node`request) -> request.getUri())).build();" is 225.,30
buremba_netty-rest,(default package),HttpServerTest,testWebhook,Magic Number,The method contains a magic number: 7847,30
buremba_netty-rest,(default package),HttpServerTest,testCustom,Long Statement,The length of the statement "HttpServer build=new HttpServerBuilder().setHttpServices(new HashSet<>(Arrays.asList(new ParameterHttpService()))).setUseEpollIfPossible(false).setCustomRequestParameters(ImmutableMap.of("test"`method -> (node`request) -> request.getUri())).build();" is 249.,40
buremba_netty-rest,(default package),HttpServerTest,testCustom,Magic Number,The method contains a magic number: 7847,40
buremba_netty-rest,(default package),MethodHandleTest,testName,Magic Number,The method contains a magic number: 10,8
